分类: 卫视频道, 名称: 海南卫视, 有效: 10, IPv4: 225, IPv6: 58, 最小延迟: 41 ms, 最高速率: 25.28 MiB/s, 平均速率: 15.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.46, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 山西卫视, 有效: 11, IPv4: 53, IPv6: 16, 最小延迟: 64 ms, 最高速率: 28.63 MiB/s, 平均速率: 14.09 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.73, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 内蒙古卫视, 有效: 11, IPv4: 56, IPv6: 12, 最小延迟: 63 ms, 最高速率: 26.93 MiB/s, 平均速率: 14.76 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.73, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 甘肃卫视, 有效: 7, IPv4: 199, IPv6: 60, 最小延迟: 51 ms, 最高速率: 25.49 MiB/s, 平均速率: 16.28 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.84, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 宁夏卫视, 有效: 10, IPv4: 56, IPv6: 16, 最小延迟: 68 ms, 最高速率: 26.47 MiB/s, 平均速率: 16.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 青海卫视, 有效: 13, IPv4: 70, IPv6: 14, 最小延迟: 50 ms, 最高速率: 24.80 MiB/s, 平均速率: 11.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.08, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 西藏卫视, 有效: 10, IPv4: 59, IPv6: 22, 最小延迟: 66 ms, 最高速率: 27.66 MiB/s, 平均速率: 17.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.5, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 新疆卫视, 有效: 10, IPv4: 56, IPv6: 21, 最小延迟: 51 ms, 最高速率: 26.52 MiB/s, 平均速率: 11.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.18, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 兵团卫视, 有效: 10, IPv4: 50, IPv6: 7, 最小延迟: 51 ms, 最高速率: 26.17 MiB/s, 平均速率: 15.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 厦门卫视, 有效: 2, IPv4: 99, IPv6: 22, 最小延迟: 51 ms, 最高速率: 25.96 MiB/s, 平均速率: 24.81 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
